word,pos,var,shaw,ipa,verdict,shaw_override,pos_override,var_override,ipa_override,source,status,confidence,notes
blackball,NN1,RSSB,𐑚𐑤𐑨𐑒𐑚𐑷𐑤,ˈblækbɔːl,,,,,,pos-gap,pos-gap,50,"rl_pos=VVB,VVI; rl_shaw=𐑚𐑤𐑨𐑒𐑚𐑷𐑤; agreed via wiktionary+wordnet"
blackberry,VVI,GenAm,𐑚𐑤𐑨𐑒𐑚𐑧𐑮𐑦,ˈblækberi,,,,,,pos-gap,pos-gap-shifted,55,rl_pos=NN1; rl_shaw=𐑚𐑤𐑨𐑒𐑚𐑼𐑦; SHIFTED via wiktionary+wordnet
blackberry,VVI,RSSB,𐑚𐑤𐑨𐑒𐑚𐑮𐑦,ˈblækbri,,,,,,pos-gap,pos-gap-shifted,40,rl_pos=NN1; rl_shaw=𐑚𐑤𐑨𐑒𐑚𐑼𐑦; SHIFTED via wiktionary
blackberry,VVI,RSSB,𐑚𐑤𐑨𐑒𐑚𐑼𐑦,blækbəri,,,,,,pos-gap,pos-gap,50,rl_pos=NN1; rl_shaw=𐑚𐑤𐑨𐑒𐑚𐑼𐑦; agreed via wiktionary+wordnet
blackboard,VVI,GenAm,𐑚𐑤𐑨𐑒𐑚𐑪𐑮𐑛,ˈblækbord,,,,,,pos-gap,pos-gap-shifted,40,rl_pos=NN1; rl_shaw=𐑚𐑤𐑨𐑒𐑚𐑹𐑛; SHIFTED via wiktionary
blackboard,VVI,RSSB,𐑚𐑤𐑨𐑒𐑚𐑹𐑛,blækbɔːRd,,,,,,pos-gap,pos-gap,35,rl_pos=NN1; rl_shaw=𐑚𐑤𐑨𐑒𐑚𐑹𐑛; agreed via wiktionary
blacker,AJ0,GenAm,𐑚𐑤𐑨𐑒𐑼,ˈblækəR,,,,,,pos-gap,pos-gap,25,rl_pos=AJC; rl_shaw=𐑚𐑤𐑨𐑒𐑼; agreed via wiktionary
blacker,NN1,GenAm,𐑚𐑤𐑨𐑒𐑼,ˈblækəR,,,,,,pos-gap,pos-gap,35,rl_pos=AJC; rl_shaw=𐑚𐑤𐑨𐑒𐑼; agreed via wiktionary
Blackfoot,NP0,GenAm,𐑚𐑤𐑨𐑒𐑓𐑫𐑑,ˈblækfʊt,,,,,,pos-gap,pos-gap,35,rl_pos=NN1; rl_shaw=𐑚𐑤𐑨𐑒𐑓𐑫𐑑; agreed via wiktionary
blackjack,VVI,RSSB,𐑚𐑤𐑨𐑒𐑡𐑨𐑒,ˈblækdʒæk,,,,,,pos-gap,pos-gap,35,rl_pos=NN1; rl_shaw=𐑚𐑤𐑨𐑒𐑡𐑨𐑒; agreed via wordnet
blacklisted,VVI,RSSB,𐑚𐑤𐑨𐑒𐑤𐑦𐑕𐑑𐑩𐑛,ˈblæklɪstəd,,,,,,pos-gap,pos-gap,15,"rl_pos=AJ0,VVD,VVN; rl_shaw=𐑚𐑤𐑨𐑒𐑤𐑦𐑕𐑑𐑩𐑛; agreed via wiktionary"
blackout,VVI,GenAm,𐑚𐑤𐑨𐑒𐑬𐑑,ˈblækaʊt,,,,,,pos-gap,pos-gap,35,rl_pos=NN1; rl_shaw=𐑚𐑤𐑨𐑒𐑬𐑑; agreed via wiktionary
bladder,VVI,GenAm,𐑚𐑤𐑨𐑛𐑼,ˈblædəR,,,,,,pos-gap,pos-gap,35,rl_pos=NN1; rl_shaw=𐑚𐑤𐑨𐑛𐑼; agreed via wiktionary
blah,AJ0,RSSB,𐑚𐑤𐑭,blɑː,,,,,,pos-gap,pos-gap,50,"rl_pos=ITJ,NN1; rl_shaw=𐑚𐑤𐑭; agreed via wiktionary"
blah,VVI,RSSB,𐑚𐑤𐑭,blɑː,,,,,,pos-gap,pos-gap,35,"rl_pos=ITJ,NN1; rl_shaw=𐑚𐑤𐑭; agreed via wiktionary"
blam,ITJ,RSSB,𐑚𐑤𐑨𐑥,ˈblam,,,,,,pos-gap,pos-gap,35,"rl_pos=VVB,VVI; rl_shaw=𐑚𐑤𐑨𐑥; agreed via wiktionary"
blam,NN1,RSSB,𐑚𐑤𐑨𐑥,ˈblam,,,,,,pos-gap,pos-gap,35,"rl_pos=VVB,VVI; rl_shaw=𐑚𐑤𐑨𐑥; agreed via wiktionary"
blamed,AJ0,RSSB,𐑚𐑤𐑱𐑥𐑛,bleɪmd,,,,,,pos-gap,pos-gap,45,"rl_pos=VVD,VVN; rl_shaw=𐑚𐑤𐑱𐑥𐑛; agreed via wordnet"
blares,NN1,GenAm,𐑚𐑤𐑺𐑟,bleərz,,,,,,pos-gap,pos-gap,35,rl_pos=VVZ; rl_shaw=𐑚𐑤𐑺𐑟; agreed via wiktionary
blares,VVI,GenAm,𐑚𐑤𐑺𐑟,bleərz,,,,,,pos-gap,pos-gap,15,rl_pos=VVZ; rl_shaw=𐑚𐑤𐑺𐑟; agreed via wiktionary
Blarney,NP0,RSSB,𐑚𐑤𐑸𐑯𐑦,blɑːRni,,,,,,pos-gap,pos-gap,35,rl_pos=NN1; rl_shaw=𐑚𐑤𐑸𐑯𐑦; agreed via wiktionary
blarney,VVI,GenAm,𐑚𐑤𐑸𐑯𐑦,blɑːRni,,,,,,pos-gap,pos-gap,50,rl_pos=NN1; rl_shaw=𐑚𐑤𐑸𐑯𐑦; agreed via wiktionary+wordnet
blaspheme,NN1,GenAm,𐑚𐑤𐑨𐑕𐑓𐑦𐑥,ˈblæsfim,,,,,,pos-gap,pos-gap-shifted,40,"rl_pos=VVB,VVI; rl_shaw=𐑚𐑤𐑨𐑕𐑓𐑰𐑥; SHIFTED via wiktionary"
blaspheme,NN1,RSSB,𐑚𐑤𐑨𐑕𐑓𐑰𐑥,ˌblæsˈfiːm,,,,,,pos-gap,pos-gap,35,"rl_pos=VVB,VVI; rl_shaw=𐑚𐑤𐑨𐑕𐑓𐑰𐑥; agreed via wiktionary"
blaspheme,NN1,RSSB,𐑚𐑤𐑭𐑕𐑓𐑰𐑥,ˌblɑːsˈfiːm,,,,,,pos-gap,pos-gap-shifted,40,"rl_pos=VVB,VVI; rl_shaw=𐑚𐑤𐑨𐑕𐑓𐑰𐑥; SHIFTED via wiktionary"
blast,ITJ,GenAm,𐑚𐑤𐑨𐑕𐑑,blæst,,,,,,pos-gap,pos-gap,35,"rl_pos=NN1,VVB,VVI; rl_shaw=𐑚𐑤𐑨𐑕𐑑/𐑚𐑤𐑭𐑕𐑑; agreed via wiktionary"
blast,ITJ,RSSB,𐑚𐑤𐑭𐑕𐑑,blɑːst,,,,,,pos-gap,pos-gap,35,"rl_pos=NN1,VVB,VVI; rl_shaw=𐑚𐑤𐑨𐑕𐑑/𐑚𐑤𐑭𐑕𐑑; agreed via wiktionary"
blasted,AV0,GenAm,𐑚𐑤𐑨𐑕𐑑𐑩𐑛,ˈblæstƏd,,,,,,pos-gap,pos-gap,50,"rl_pos=AJ0,VVD,VVN; rl_shaw=𐑚𐑤𐑨𐑕𐑑𐑩𐑛/𐑚𐑤𐑭𐑕𐑑𐑩𐑛; agreed via wiktionary"
blasted,AV0,RSSB,𐑚𐑤𐑭𐑕𐑑𐑩𐑛,ˈblɑːstƏd,,,,,,pos-gap,pos-gap,50,"rl_pos=AJ0,VVD,VVN; rl_shaw=𐑚𐑤𐑨𐑕𐑑𐑩𐑛/𐑚𐑤𐑭𐑕𐑑𐑩𐑛; agreed via wiktionary"
blasted,VVI,GenAm,𐑚𐑤𐑨𐑕𐑑𐑩𐑛,ˈblæstƏd,,,,,,pos-gap,pos-gap,15,"rl_pos=AJ0,VVD,VVN; rl_shaw=𐑚𐑤𐑨𐑕𐑑𐑩𐑛/𐑚𐑤𐑭𐑕𐑑𐑩𐑛; agreed via wiktionary"
blasted,VVI,RSSB,𐑚𐑤𐑭𐑕𐑑𐑩𐑛,ˈblɑːstƏd,,,,,,pos-gap,pos-gap,15,"rl_pos=AJ0,VVD,VVN; rl_shaw=𐑚𐑤𐑨𐑕𐑑𐑩𐑛/𐑚𐑤𐑭𐑕𐑑𐑩𐑛; agreed via wiktionary"
blazing,NN1,RSSB,𐑚𐑤𐑱𐑟𐑦𐑙,ˈbleɪzɪŋ,,,,,,pos-gap,pos-gap,50,"rl_pos=AJ0,VVG; rl_shaw=𐑚𐑤𐑱𐑟𐑦𐑙; agreed via wordnet"
bleach,AJ0,GenAm,𐑚𐑤𐑦𐑗,blitʃ,,,,,,pos-gap,pos-gap-shifted,40,"rl_pos=NN1,VVB,VVI; rl_shaw=𐑚𐑤𐑰𐑗; SHIFTED via wiktionary"
bleach,AJ0,RSSB,𐑚𐑤𐑰𐑗,bliːtʃ,,,,,,pos-gap,pos-gap,50,"rl_pos=NN1,VVB,VVI; rl_shaw=𐑚𐑤𐑰𐑗; agreed via wiktionary"
blinder,AJ0,GenAm,𐑚𐑤𐑲𐑯𐑛𐑼,ˈblaɪndəR,,,,,,pos-gap,pos-gap,50,rl_pos=NN1; rl_shaw=𐑚𐑤𐑲𐑯𐑛𐑼; agreed via wiktionary
blinder,VVI,GenAm,𐑚𐑤𐑲𐑯𐑛𐑼,ˈblaɪndəR,,,,,,pos-gap,pos-gap,35,rl_pos=NN1; rl_shaw=𐑚𐑤𐑲𐑯𐑛𐑼; agreed via wiktionary
blinders,NN1,GenAm,𐑚𐑤𐑲𐑯𐑛𐑼𐑟,ˈblaɪndəRz,,,,,,pos-gap,pos-gap,35,rl_pos=NN2; rl_shaw=𐑚𐑤𐑲𐑯𐑛𐑼𐑟; agreed via wiktionary
blindfold,AV0,RSSB,𐑚𐑤𐑲𐑯𐑛𐑓𐑴𐑤𐑛,ˈblaɪndfəʊld,,,,,,pos-gap,pos-gap,50,"rl_pos=AJ0,NN1,VVB,VVI; rl_shaw=𐑚𐑤𐑲𐑯𐑛𐑓𐑴𐑤𐑛; agreed via wiktionary"
blindfold,AV0,GenAm,𐑚𐑤𐑲𐑯𐑛𐑓𐑷𐑫𐑤𐑛,ˈblaɪndfɔʊld,,,,,,pos-gap,pos-gap-shifted,40,"rl_pos=AJ0,NN1,VVB,VVI; rl_shaw=𐑚𐑤𐑲𐑯𐑛𐑓𐑴𐑤𐑛; SHIFTED via wiktionary"
blinker,VVI,GenAm,𐑚𐑤𐑦𐑙𐑒𐑼,blɪŋkəR,,,,,,pos-gap,pos-gap,50,rl_pos=NN1; rl_shaw=𐑚𐑤𐑦𐑙𐑒𐑼; agreed via wiktionary+wordnet
blinks,NN1,RSSB,𐑚𐑤𐑦𐑙𐑒𐑕,blɪŋks,,,,,,pos-gap,pos-gap,35,"rl_pos=NN2,VVZ; rl_shaw=𐑚𐑤𐑦𐑙𐑒𐑕; agreed via wordnet"
blizzard,VVI,GenAm,𐑚𐑤𐑦𐑟𐑼𐑛,ˈblɪzəRd,,,,,,pos-gap,pos-gap,35,rl_pos=NN1; rl_shaw=𐑚𐑤𐑦𐑟𐑼𐑛; agreed via wiktionary
bloat,AJ0,GenAm,𐑚𐑤𐑴𐑑,bloʊt,,,,,,pos-gap,pos-gap,50,rl_pos=NN1; rl_shaw=𐑚𐑤𐑴𐑑; agreed via wiktionary
bloat,VVI,GenAm,𐑚𐑤𐑴𐑑,bloʊt,,,,,,pos-gap,pos-gap,50,rl_pos=NN1; rl_shaw=𐑚𐑤𐑴𐑑; agreed via wiktionary+wordnet
bloated,VVI,GenAm,𐑚𐑤𐑴𐑑𐑩𐑛,ˈbloʊtƏd,,,,,,pos-gap,pos-gap,35,rl_pos=AJ0; rl_shaw=𐑚𐑤𐑴𐑑𐑩𐑛; agreed via wiktionary
blocked,VVI,RSSB,𐑚𐑤𐑪𐑒𐑑,blɒkt,,,,,,pos-gap,pos-gap,15,"rl_pos=AJ0,VVD,VVN; rl_shaw=𐑚𐑤𐑪𐑒𐑑; agreed via wiktionary"
blocking,VVI,GenAm,𐑚𐑤𐑪𐑒𐑦𐑙,ˈblɒkɪŋ,,,,,,pos-gap,pos-gap,15,"rl_pos=AJ0,NN1,VVG; rl_shaw=𐑚𐑤𐑪𐑒𐑦𐑙; agreed via wiktionary"
blocks,NN1,RSSB,𐑚𐑤𐑪𐑒𐑕,blɒks,,,,,,pos-gap,pos-gap,35,"rl_pos=NN2,VVZ; rl_shaw=𐑚𐑤𐑪𐑒𐑕; agreed via wiktionary"
blocks,VVI,RSSB,𐑚𐑤𐑪𐑒𐑕,blɒks,,,,,,pos-gap,pos-gap,15,"rl_pos=NN2,VVZ; rl_shaw=𐑚𐑤𐑪𐑒𐑕; agreed via wiktionary"
blocs,NN1,RSSB,𐑚𐑤𐑪𐑒𐑕,blɒks,,,,,,pos-gap,pos-gap,35,rl_pos=NN2; rl_shaw=𐑚𐑤𐑪𐑒𐑕; agreed via wiktionary
blogging,NN1,GenAm,𐑚𐑤𐑪𐑜𐑦𐑙,ˈblɒɡiŋ,,,,,,pos-gap,pos-gap,35,rl_pos=VVG; rl_shaw=𐑚𐑤𐑪𐑜𐑦𐑙; agreed via wiktionary
blogging,VVI,GenAm,𐑚𐑤𐑪𐑜𐑦𐑙,ˈblɒɡiŋ,,,,,,pos-gap,pos-gap,15,rl_pos=VVG; rl_shaw=𐑚𐑤𐑪𐑜𐑦𐑙; agreed via wiktionary
blokes,NN1,GenAm,𐑚𐑤𐑴𐑒𐑕,bloʊks,,,,,,pos-gap,pos-gap,35,rl_pos=NN2; rl_shaw=𐑚𐑤𐑴𐑒𐑕; agreed via wiktionary
blond,VVI,GenAm,𐑚𐑤𐑪𐑯𐑛,blɒnd,,,,,,pos-gap,pos-gap,35,"rl_pos=AJ0,NN1; rl_shaw=𐑚𐑤𐑪𐑯𐑛; agreed via wiktionary"
blonde,VVI,GenAm,𐑚𐑤𐑪𐑯𐑛,blɒnd,,,,,,pos-gap,pos-gap,35,"rl_pos=AJ0,NN1; rl_shaw=𐑚𐑤𐑪𐑯𐑛; agreed via wiktionary"
blonds,NN1,GenAm,𐑚𐑤𐑪𐑯𐑛𐑟,blɒndz,,,,,,pos-gap,pos-gap,35,rl_pos=NN2; rl_shaw=𐑚𐑤𐑪𐑯𐑛𐑟; agreed via wiktionary
blonds,VVI,GenAm,𐑚𐑤𐑪𐑯𐑛𐑟,blɒndz,,,,,,pos-gap,pos-gap,35,rl_pos=NN2; rl_shaw=𐑚𐑤𐑪𐑯𐑛𐑟; agreed via wiktionary
blooded,VVI,GenAm,𐑚𐑤𐑳𐑛𐑩𐑛,ˈblʌdəd,,,,,,pos-gap,pos-gap,15,"rl_pos=AJ0,VVD,VVN; rl_shaw=𐑚𐑤𐑳𐑛𐑩𐑛; agreed via wiktionary"
bloody,VVI,GenAm,𐑚𐑤𐑳𐑛𐑦,ˈblʌdi,,,,,,pos-gap,pos-gap,35,"rl_pos=AJ0,AV0; rl_shaw=𐑚𐑤𐑳𐑛𐑦; agreed via wordnet"
blooming,AV0,RSSB,𐑚𐑤𐑫𐑥𐑦𐑙,ˈblʊmɪŋ,,,,,,pos-gap,pos-gap-shifted,40,"rl_pos=AJ0,VVG; rl_shaw=𐑚𐑤𐑵𐑥𐑦𐑙; SHIFTED via wiktionary"
blooming,AV0,RSSB,𐑚𐑤𐑵𐑥𐑦𐑙,ˈbluːmɪŋ,,,,,,pos-gap,pos-gap,50,"rl_pos=AJ0,VVG; rl_shaw=𐑚𐑤𐑵𐑥𐑦𐑙; agreed via wiktionary"
blooming,NN1,RSSB,𐑚𐑤𐑫𐑥𐑦𐑙,ˈblʊmɪŋ,,,,,,pos-gap,pos-gap-shifted,40,"rl_pos=AJ0,VVG; rl_shaw=𐑚𐑤𐑵𐑥𐑦𐑙; SHIFTED via wiktionary"
blooming,NN1,RSSB,𐑚𐑤𐑵𐑥𐑦𐑙,ˈbluːmɪŋ,,,,,,pos-gap,pos-gap,50,"rl_pos=AJ0,VVG; rl_shaw=𐑚𐑤𐑵𐑥𐑦𐑙; agreed via wiktionary"
blooming,VVI,RSSB,𐑚𐑤𐑫𐑥𐑦𐑙,ˈblʊmɪŋ,,,,,,pos-gap,pos-gap-shifted,10,"rl_pos=AJ0,VVG; rl_shaw=𐑚𐑤𐑵𐑥𐑦𐑙; SHIFTED via wiktionary"
blooming,VVI,RSSB,𐑚𐑤𐑵𐑥𐑦𐑙,ˈbluːmɪŋ,,,,,,pos-gap,pos-gap,15,"rl_pos=AJ0,VVG; rl_shaw=𐑚𐑤𐑵𐑥𐑦𐑙; agreed via wiktionary"
blotched,VVI,GenAm,𐑚𐑤𐑪𐑗𐑑,blɒtʃt,,,,,,pos-gap,pos-gap,15,"rl_pos=AJ0,VVD,VVN; rl_shaw=𐑚𐑤𐑪𐑗𐑑; agreed via wiktionary"
blotto,NN1,GenAm,𐑚𐑤𐑪𐑑𐑴,ˈblɒtoʊ,,,,,,pos-gap,pos-gap,50,rl_pos=AJ0; rl_shaw=𐑚𐑤𐑪𐑑𐑴; agreed via wiktionary
blotto,NN1,GenAm,𐑚𐑩𐑤𐑴𐑑𐑴,bəˈloʊtoʊ,,,,,,pos-gap,pos-gap-shifted,40,rl_pos=AJ0; rl_shaw=𐑚𐑤𐑪𐑑𐑴; SHIFTED via wiktionary
blotto,VVI,GenAm,𐑚𐑤𐑪𐑑𐑴,ˈblɒtoʊ,,,,,,pos-gap,pos-gap,35,rl_pos=AJ0; rl_shaw=𐑚𐑤𐑪𐑑𐑴; agreed via wiktionary
blow,AJ0,GenAm,𐑚𐑤𐑴,bloʊ,,,,,,pos-gap,pos-gap,50,"rl_pos=NN1,VVB,VVI; rl_shaw=𐑚𐑤𐑴; agreed via wiktionary"
blow,ITJ,GenAm,𐑚𐑤𐑴,bloʊ,,,,,,pos-gap,pos-gap,35,"rl_pos=NN1,VVB,VVI; rl_shaw=𐑚𐑤𐑴; agreed via wiktionary"
blowing,NN1,GenAm,𐑚𐑤𐑴𐑦𐑙,ˈbloʊɪŋ,,,,,,pos-gap,pos-gap,35,rl_pos=VVG; rl_shaw=𐑚𐑤𐑴𐑦𐑙; agreed via wiktionary
blowing,VVI,GenAm,𐑚𐑤𐑴𐑦𐑙,ˈbloʊɪŋ,,,,,,pos-gap,pos-gap,15,rl_pos=VVG; rl_shaw=𐑚𐑤𐑴𐑦𐑙; agreed via wiktionary
blown,VVI,GenAm,𐑚𐑤𐑴𐑯,bloʊn,,,,,,pos-gap,pos-gap,15,"rl_pos=AJ0,VVN; rl_shaw=𐑚𐑤𐑴𐑯; agreed via wiktionary"
blowpipe,VVI,GenAm,𐑚𐑤𐑴𐑐𐑲𐑐,ˈbloʊˌpaɪp,,,,,,pos-gap,pos-gap,35,rl_pos=NN1; rl_shaw=𐑚𐑤𐑴𐑐𐑲𐑐; agreed via wiktionary
blows,NN1,GenAm,𐑚𐑤𐑴𐑟,bloʊz,,,,,,pos-gap,pos-gap,35,"rl_pos=NN2,VVZ; rl_shaw=𐑚𐑤𐑴𐑟; agreed via wiktionary"
blows,VVI,GenAm,𐑚𐑤𐑴𐑟,bloʊz,,,,,,pos-gap,pos-gap,15,"rl_pos=NN2,VVZ; rl_shaw=𐑚𐑤𐑴𐑟; agreed via wiktionary"
blowtorch,VVI,GenAm,𐑚𐑤𐑴𐑑𐑪𐑮𐑗,ˈbloʊˌtortʃ,,,,,,pos-gap,pos-gap-shifted,40,rl_pos=NN1; rl_shaw=𐑚𐑤𐑴𐑑𐑹𐑗; SHIFTED via wiktionary
blowtorch,VVI,RSSB,𐑚𐑤𐑴𐑑𐑹𐑗,bləʊtɔːRtʃ,,,,,,pos-gap,pos-gap,35,rl_pos=NN1; rl_shaw=𐑚𐑤𐑴𐑑𐑹𐑗; agreed via wiktionary
blubber,AJ0,GenAm,𐑚𐑤𐑳𐑚𐑼,ˈblʌbər,,,,,,pos-gap,pos-gap,50,"rl_pos=NN1,VVB,VVI; rl_shaw=𐑚𐑤𐑳𐑚𐑼; agreed via wiktionary"
blueprint,VVI,RSSB,𐑚𐑤𐑵𐑐𐑮𐑦𐑯𐑑,ˈbluːˌprɪnt,,,,,,pos-gap,pos-gap,35,rl_pos=NN1; rl_shaw=𐑚𐑤𐑵𐑐𐑮𐑦𐑯𐑑; agreed via wordnet
bluffer,AJ0,RSSB,𐑚𐑤𐑳𐑓𐑼,blʌfəR,,,,,,pos-gap,pos-gap,50,rl_pos=NN1; rl_shaw=𐑚𐑤𐑳𐑓𐑼; agreed via wiktionary
blunderbuss,VVI,GenAm,𐑚𐑤𐑳𐑯𐑛𐑼𐑚𐑳𐑕,ˈblʌndəRˌbʌs,,,,,,pos-gap,pos-gap,35,rl_pos=NN1; rl_shaw=𐑚𐑤𐑳𐑯𐑛𐑼𐑚𐑳𐑕; agreed via wiktionary
blunderbusses,NN1,GenAm,𐑚𐑤𐑳𐑯𐑛𐑼𐑚𐑳𐑕𐑩𐑟,ˈblʌndərbʌsƏz,,,,,,pos-gap,pos-gap,35,rl_pos=NN2; rl_shaw=𐑚𐑤𐑳𐑯𐑛𐑼𐑚𐑳𐑕𐑩𐑟; agreed via wiktionary
blur,AJ0,GenAm,𐑚𐑤𐑻,blɜːR,,,,,,pos-gap,pos-gap,50,"rl_pos=NN1,VVB,VVI; rl_shaw=𐑚𐑤𐑻; agreed via wiktionary"
blurred,VVI,GenAm,𐑚𐑤𐑻𐑛,blɜːRd,,,,,,pos-gap,pos-gap,15,"rl_pos=AJ0,VVD,VVN; rl_shaw=𐑚𐑤𐑻𐑛; agreed via wiktionary"
blurs,NN1,GenAm,𐑚𐑤𐑻𐑟,blɜːRz,,,,,,pos-gap,pos-gap,35,"rl_pos=NN2,VVZ; rl_shaw=𐑚𐑤𐑻𐑟; agreed via wiktionary"
blurs,VVI,GenAm,𐑚𐑤𐑻𐑟,blɜːRz,,,,,,pos-gap,pos-gap,15,"rl_pos=NN2,VVZ; rl_shaw=𐑚𐑤𐑻𐑟; agreed via wiktionary"
blurt,NN1,GenAm,𐑚𐑤𐑻𐑑,ˈblɜːRt,,,,,,pos-gap,pos-gap,35,"rl_pos=VVB,VVI; rl_shaw=𐑚𐑤𐑻𐑑; agreed via wiktionary"
bo,AV0,GenAm,𐑚𐑴,boʊ,,,,,,pos-gap,pos-gap,50,"rl_pos=ITJ,NN1,NP0; rl_shaw=𐑚𐑴; agreed via wiktionary"
bo,UNC,GenAm,𐑚𐑴,boʊ,,,,,,pos-gap,pos-gap,35,"rl_pos=ITJ,NN1,NP0; rl_shaw=𐑚𐑴; agreed via wiktionary"
boards,NN1,GenAm,𐑚𐑹𐑛𐑟,bɔːrdz,,,,,,pos-gap,pos-gap,35,"rl_pos=NN2,VVZ; rl_shaw=𐑚𐑹𐑛𐑟; agreed via wiktionary"
boards,VVI,GenAm,𐑚𐑹𐑛𐑟,bɔːrdz,,,,,,pos-gap,pos-gap,15,"rl_pos=NN2,VVZ; rl_shaw=𐑚𐑹𐑛𐑟; agreed via wiktionary"
boardwalk,VVI,GenAm,𐑚𐑹𐑛𐑢𐑪𐑒,ˈbɔːRdˌwɒk,,,,,,pos-gap,pos-gap-shifted,40,rl_pos=NN1; rl_shaw=𐑚𐑹𐑛𐑢𐑷𐑒; SHIFTED via wiktionary
boardwalk,VVI,RSSB,𐑚𐑹𐑛𐑢𐑷𐑒,bɔːRdwɔːk,,,,,,pos-gap,pos-gap,35,rl_pos=NN1; rl_shaw=𐑚𐑹𐑛𐑢𐑷𐑒; agreed via wiktionary
boars,NN1,RSSB,𐑚𐑹𐑟,bɔːRz,,,,,,pos-gap,pos-gap,35,rl_pos=NN2; rl_shaw=𐑚𐑹𐑟; agreed via wiktionary
boasted,VVI,RSSB,𐑚𐑴𐑕𐑑𐑩𐑛,ˈbəʊstƏd,,,,,,pos-gap,pos-gap,15,"rl_pos=VVD,VVN; rl_shaw=𐑚𐑴𐑕𐑑𐑩𐑛; agreed via wiktionary"
boasting,NN1,GenAm,𐑚𐑴𐑕𐑑𐑦𐑙,ˈboʊstɪŋ,,,,,,pos-gap,pos-gap,70,"rl_pos=AJ0,VVG; rl_shaw=𐑚𐑴𐑕𐑑𐑦𐑙; agreed via wiktionary+wordnet"
boasting,VVI,GenAm,𐑚𐑴𐑕𐑑𐑦𐑙,ˈboʊstɪŋ,,,,,,pos-gap,pos-gap,15,"rl_pos=AJ0,VVG; rl_shaw=𐑚𐑴𐑕𐑑𐑦𐑙; agreed via wiktionary"
boated,VVI,GenAm,𐑚𐑴𐑑𐑩𐑛,ˈboʊtƏd,,,,,,pos-gap,pos-gap,15,"rl_pos=VVD,VVN; rl_shaw=𐑚𐑴𐑑𐑩𐑛; agreed via wiktionary"
boating,VVI,GenAm,𐑚𐑴𐑑𐑦𐑙,ˈboʊtɪŋ,,,,,,pos-gap,pos-gap,15,"rl_pos=NN1,VVG; rl_shaw=𐑚𐑴𐑑𐑦𐑙; agreed via wiktionary"
boats,NN1,GenAm,𐑚𐑴𐑑𐑕,boʊts,,,,,,pos-gap,pos-gap,35,"rl_pos=NN2,VVZ; rl_shaw=𐑚𐑴𐑑𐑕; agreed via wiktionary"
boats,VVI,GenAm,𐑚𐑴𐑑𐑕,boʊts,,,,,,pos-gap,pos-gap,15,"rl_pos=NN2,VVZ; rl_shaw=𐑚𐑴𐑑𐑕; agreed via wiktionary"
bob,NN1,GenAm,𐑚𐑪𐑚,bɒb,,,,,,pos-gap,pos-gap,75,"rl_pos=NN0,NP0,VVB,VVI; rl_shaw=𐑚𐑪𐑚; agreed via wiktionary+wordnet"
boche,NN1,RSSB,𐑚𐑪𐑖,bɒʃ,,,,,,pos-gap,pos-gap,50,"rl_pos=AJ0,NN2; rl_shaw=𐑚𐑪𐑖; agreed via wordnet"
bode,NN1,GenAm,𐑚𐑴𐑛,boʊd,,,,,,pos-gap,pos-gap,35,"rl_pos=VVB,VVI; rl_shaw=𐑚𐑴𐑛; agreed via wiktionary"
boded,VVI,GenAm,𐑚𐑴𐑛𐑩𐑛,ˈboʊdƏd,,,,,,pos-gap,pos-gap,15,"rl_pos=VVD,VVN; rl_shaw=𐑚𐑴𐑛𐑩𐑛; agreed via wiktionary"
bodes,NN1,GenAm,𐑚𐑴𐑛𐑟,boʊdz,,,,,,pos-gap,pos-gap,35,rl_pos=VVZ; rl_shaw=𐑚𐑴𐑛𐑟; agreed via wiktionary
bodes,VVI,GenAm,𐑚𐑴𐑛𐑟,boʊdz,,,,,,pos-gap,pos-gap,15,rl_pos=VVZ; rl_shaw=𐑚𐑴𐑛𐑟; agreed via wiktionary
bodied,VVI,GenAm,𐑚𐑪𐑛𐑦𐑛,ˈbɒdid,,,,,,pos-gap,pos-gap,35,rl_pos=AJ0; rl_shaw=𐑚𐑪𐑛𐑦𐑛; agreed via wiktionary
bodies,NN1,GenAm,𐑚𐑪𐑑𐑦𐑟,ˈbɒtiz,,,,,,pos-gap,pos-gap-shifted,20,rl_pos=NN2; rl_shaw=𐑚𐑪𐑛𐑦𐑟; SHIFTED via wiktionary
bodies,NN1,GenAm,𐑚𐑪𐑛𐑦𐑟,ˈbɒdiz,,,,,,pos-gap,pos-gap,35,rl_pos=NN2; rl_shaw=𐑚𐑪𐑛𐑦𐑟; agreed via wiktionary
bodies,VVI,GenAm,𐑚𐑪𐑑𐑦𐑟,ˈbɒtiz,,,,,,pos-gap,pos-gap-shifted,20,rl_pos=NN2; rl_shaw=𐑚𐑪𐑛𐑦𐑟; SHIFTED via wiktionary
bodies,VVI,GenAm,𐑚𐑪𐑛𐑦𐑟,ˈbɒdiz,,,,,,pos-gap,pos-gap,35,rl_pos=NN2; rl_shaw=𐑚𐑪𐑛𐑦𐑟; agreed via wiktionary
boding,AJ0,GenAm,𐑚𐑴𐑛𐑦𐑙,ˈboʊdɪŋ,,,,,,pos-gap,pos-gap,50,"rl_pos=NN1,VVG; rl_shaw=𐑚𐑴𐑛𐑦𐑙; agreed via wiktionary"
